metric,value
raw_rows,10000
cleaned_rows,10000
rows_with_any_raw_defect,6911
suspicious_rows,6229
full_duplicates,0
duplicate_transaction_ids,0
raw_missing_item,969
cleaned_missing_item,479
raw_missing_quantity,479
cleaned_missing_quantity,21
raw_missing_price,533
cleaned_missing_price,4
raw_missing_total,502
cleaned_missing_total,23
raw_missing_payment,3178
cleaned_missing_payment,3178
raw_missing_location,3961
cleaned_missing_location,3961
raw_missing_date,460
cleaned_missing_date,460
raw_checkable_total,8544
raw_consistent_total,8544
raw_inconsistent_total,0
clean_checkable_total,9976
clean_consistent_total,9976
clean_inconsistent_total,0
raw_revenue_transactions,9498
clean_revenue_transactions,9977
raw_revenue,84763.50
clean_revenue,89096.00
revenue_diff,4332.50
revenue_diff_pct,5.11
top_item_by_transactions,Coffee
top_item_by_units,Coffee
top_item_by_revenue,Salad
top_weekday_by_revenue,Thursday
top_month_by_revenue,June
recovered_item,490
recovered_price,529
recovered_quantity,458
recovered_total,479
price_recovered_from_item,479
price_recovered_from_total_quantity,48
price_recovered_from_unique_total,2
item_recovered_from_existing_unique_price,468
item_recovered_from_reconstructed_price,21
item_recovered_from_unique_total,1
quantity_recovered_from_total_price,456
quantity_recovered_from_unique_total,2
